GrossSpread,MarketValue,OfferPrice,Shares_offered,Syndicated,Num_underwriters,Day1Perf
15120000,216,15,14400000,0,8,2
7200000,161,15,8000000,0,6,2
34849880,1300,13,50000000,1,6,2
10260000,228,15,15200000,0,4,2
60750000,1350,15,90000000,1,18,2
96862500,2153,25,86100000,1,24,2
5575024,269,13,6000000,1,4,2
2556181,16235,14,34814489,1,7,2
1785375,74,15,2300000,0,6,2
14715000,305,15,20300000,0,10,2
46215000,900,20,45000000,1,19,2
9811503,401,14,10294118,0,6,2
52650000,1170,20,58500000,1,18,2
10750000,218,11,16666667,0,3,2
2940000,775,7,6000000,1,4,2
42525000,945,15,63000000,1,18,2
2940000,1674,7,6000000,1,4,2
6327796,224,10,8696820,0,7,2
7516075,252,15,7100000,0,6,2
25527976,1752,9,52000000,0,6,2
14175000,216,9,22500000,0,3,2
39247200,3081,18,31600000,1,11,2
8460000,564,20,9400000,0,13,2
37500000,750,25,30000000,1,5,2
14430000,559,16,12500000,0,6,2
3780000,1138,4,13500000,1,4,2
11307660,380,10,15000000,0,6,2
35017500,596,15,29000000,0,8,2
9495266,3541,13,9409405,1,3,2
8085000,409,15,7700000,1,4,2
3504200,2643,10,4500000,1,4,2
49858969,706,19,36510000,0,9,2
3984750,1789,8,6000000,1,6,2
1418335,66,8,2600000,0,3,2
3220000,23,20,2000000,0,3,2
8750000,331,13,8700000,0,4,2
304500,20202,8,580000,0,1,2
5001819,387,14,4602547,1,3,2
4924500,70,11,6700000,1,3,2
1462500,304,8,2500000,0,5,2
10215380,310,20,6772500,0,3,2
2100000,618,5,6000000,1,2,2
3074315,783,8,5000000,1,4,2
963900,34,16,1020000,0,3,2
2773887,1209,7,6000000,1,4,2
10288353,1005,19,7150000,1,7,2
15750000,281,8,28125000,0,3,2
1863000,78,15,2400000,0,7,2
4735125,197,15,6100000,0,7,2
2450000,95,10,3500000,1,3,2
1470000,58,6,3500000,1,3,2
8732870,239,11,10000000,0,4,2
133875000,2620,20,131000000,1,22,2
4025000,158,10,5000000,1,3,2
16935188,655,17,12375000,0,4,2
1023000,74,15,1100000,0,1,2
21767200,734,16,16900000,0,5,2
1397250,58,15,1800000,0,7,2
12362500,671,22,8000000,0,10,2
47250000,1783,24,33333334,1,9,2
12524801,941,15,11764706,1,6,2
25200000,450,10,36000000,0,4,2
16200000,1801,15,24000000,1,10,2
98807931,2864,30,95466600,1,13,2
62775000,1275,20,63750000,1,4,2
7524339,19624,19,5300000,0,3,2
1231663,27,6,2200000,0,2,2
8904000,495,12,10600000,1,4,2
6107400,354,15,5800000,1,3,2
6118875,12719,7,12487500,1,4,2
1407000,75,6,3350000,0,2,2
3297200,95,12,4500000,0,3,2
3780000,268,18,3000000,0,3,2
2386360,128,5,6818170,1,6,2
22006688,555,21,13500000,0,9,2
16819156,878,13,18750000,1,8,2
7848750,242,21,5000000,0,5,2
14175000,1576,15,21000000,1,14,2
17451564,4233,18,12222399,1,5,2
4347000,252,9,6000000,1,4,2
14175000,316,25,11000000,0,10,2
2709000,151,6,6000000,1,4,2
12618375,547,19,8250000,0,12,2
19933333,258,16,16666666,0,9,2
15093750,216,11,16666667,1,5,2
12622596,1126,21,8000000,1,4,2
8783250,370,15,7700000,1,4,2
28750000,598,16,25000000,0,6,2
24150000,353,20,17500000,0,5,2
8006600,225,14,8170000,0,4,2
5346023,157,9,8000000,0,2,2
7245000,404,18,5000000,1,3,2
19835200,405,14,17600000,0,6,2
30403125,1063,15,29375000,1,10,2
1375000,50,10,2750000,0,1,2
11960000,814,16,10000000,1,7,2
7304348,243,12,8695652,0,4,2
